benchmark,time,ext
cactusADM,37.166324,re-randomized
cactusADM,37.250957,re-randomized
cactusADM,36.816972,re-randomized
cactusADM,37.237784,re-randomized
cactusADM,36.820225,re-randomized
cactusADM,37.17246,re-randomized
cactusADM,37.535629,re-randomized
cactusADM,37.520583,re-randomized
cactusADM,36.671992,re-randomized
cactusADM,37.02217,re-randomized
cactusADM,37.436315,re-randomized
cactusADM,36.878944,re-randomized
cactusADM,36.931043,re-randomized
cactusADM,37.006627,re-randomized
cactusADM,36.871715,re-randomized
cactusADM,36.987942,re-randomized
cactusADM,39.234535,re-randomized
cactusADM,37.469364,re-randomized
cactusADM,37.559503,re-randomized
cactusADM,37.333251,re-randomized
cactusADM,36.614981,re-randomized
cactusADM,37.003374,re-randomized
cactusADM,36.918414,re-randomized
cactusADM,37.39631,re-randomized
cactusADM,37.531067,re-randomized
cactusADM,38.706793,re-randomized
cactusADM,37.68111,re-randomized
bzip2,116.745781,re-randomized
bzip2,116.488386,re-randomized
bzip2,116.390381,re-randomized
bzip2,116.488602,re-randomized
bzip2,116.459213,re-randomized
bzip2,116.660261,re-randomized
bzip2,116.750141,re-randomized
bzip2,116.684518,re-randomized
bzip2,116.281282,re-randomized
bzip2,116.405292,re-randomized
bzip2,116.501986,re-randomized
bzip2,116.988205,re-randomized
bzip2,116.686067,re-randomized
bzip2,116.809615,re-randomized
bzip2,116.968281,re-randomized
bzip2,116.826929,re-randomized
bzip2,116.438846,re-randomized
bzip2,116.301465,re-randomized
bzip2,116.702249,re-randomized
bzip2,116.703178,re-randomized
bzip2,116.372571,re-randomized
bzip2,116.504293,re-randomized
bzip2,116.623896,re-randomized
bzip2,116.327251,re-randomized
bzip2,116.947173,re-randomized
bzip2,116.722339,re-randomized
bzip2,116.874434,re-randomized
bzip2,116.451167,re-randomized
bzip2,116.385069,re-randomized
bzip2,116.440785,re-randomized
gcc,2.673191,re-randomized
gcc,2.662509,re-randomized
gcc,2.663088,re-randomized
gcc,2.684368,re-randomized
gcc,2.682076,re-randomized
gcc,2.655053,re-randomized
gcc,2.674441,re-randomized
gcc,2.656969,re-randomized
gcc,2.670547,re-randomized
gcc,2.654993,re-randomized
gcc,2.668223,re-randomized
gcc,2.663848,re-randomized
gcc,2.645822,re-randomized
gcc,2.65705,re-randomized
gcc,2.669034,re-randomized
gcc,2.66203,re-randomized
gcc,2.652231,re-randomized
gcc,2.681248,re-randomized
gcc,2.657725,re-randomized
gcc,2.664368,re-randomized
gcc,2.673098,re-randomized
gcc,2.668237,re-randomized
gcc,2.646835,re-randomized
gcc,2.67457,re-randomized
