benchmark, time, tune
sphinx3, 19.821543, O2
sphinx3, 20.129975, O2
sphinx3, 20.002874, O2
sphinx3, 19.94414, O2
sphinx3, 20.219532, O2
sphinx3, 20.091233, O2
sphinx3, 20.22447, O2
sphinx3, 20.14384, O2
sphinx3, 20.052545, O2
sphinx3, 19.844934, O2
sphinx3, 20.005174, O2
sphinx3, 19.977894, O2
sphinx3, 20.024842, O2
sphinx3, 20.132502, O2
sphinx3, 20.020751, O2
sphinx3, 19.910648, O2
sphinx3, 19.969245, O2
sphinx3, 19.922366, O2
wrf, 174.957297, O2
wrf, 175.458893, O2
wrf, 174.973845, O2
wrf, 174.629511, O2
wrf, 175.113161, O2
wrf, 174.844602, O2
wrf, 174.959448, O2
wrf, 175.046966, O2
